pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,infra_score,toilet_functionality_ratio,cwsn_ready
4860336,3,1,1,5,2,0,2,0,0,2,1,1,1,1,0,0,0,0,1,1,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,2,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3,4,1.0,False
3602446,3,2,2,5,7,0,7,0,0,2,1,1,1,1,0,0,0,0,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,2,2,1,2,2,2,2,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,1,1.0,False
9141620,1,1,1,1,7,7,7,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,2,1,2,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,2,2,1,1,1.0,False
5025256,3,4,3,2,8,5,6,1,1,1,2,2,2,2,1,1,1,1,4,6,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,18,0,0,0,1,1,1,1,2,4,1.0,True
8929655,3,2,2,7,5,2,3,2,0,1,1,1,1,1,1,1,0,0,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,2,3,3,1.0,True
5214844,3,2,1,3,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,2,2,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,3,1.0,True
3893526,3,2,0,5,3,0,3,0,0,2,1,1,1,1,0,0,0,0,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,2,2,3,2,1.0,False
7641933,3,1,1,1,5,1,2,1,2,2,2,2,2,2,0,0,0,0,5,4,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,3,1.0,False
4864190,3,3,3,1,11,6,7,4,0,2,1,1,1,1,0,0,0,0,3,1,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,2,4,4,4,4,4,2,4,4,1,1,1,1,0,12,0,8,0,1,0,3,1,1,3,4,1.0,False
5091129,3,2,0,7,2,2,0,0,2,2,1,1,1,1,0,0,0,0,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,2,2,1,9,1,1,2,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3,3,1.0,False
7361523,3,3,3,1,24,3,20,2,2,1,5,5,4,4,0,0,0,0,8,6,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,0,0,13,0,0,0,1,2,3,1,2,3,4,1.0,False
9206198,3,2,2,1,4,1,1,0,3,2,2,2,2,2,0,0,0,0,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,2,2,1,2,1,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,1,1,1,2,2,3,2,1.0,False
4524324,3,9,9,1,9,1,5,2,2,1,0,0,2,1,0,0,0,0,0,3,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,1,2,3,4,0.5,False
1217031,3,4,4,5,4,4,4,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,2,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,2,3,1,1.0,False
3545548,3,1,1,1,2,0,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,10,0,0,0,0,0,0,0,1,2,2,4,1.0,True
3939898,3,7,7,1,7,0,7,0,0,2,1,0,1,0,0,0,0,0,0,0,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0.0,False
9410965,2,8,2,3,8,6,8,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,9,9,1,2,1,3,3,1,2,1,1,9,2,1,2,3,0,0,0,0,0,0,0,0,0,1,9,1,100,1,0,0,0,0,0,0,1,2,1,6,1.0,False
2337163,3,1,1,1,8,6,8,0,0,1,3,2,2,2,0,0,0,0,2,2,2,2,2,1,1,2,2,9,9,1,1,9,9,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,4,2,2,3,3,2,1,2,5,20,6,0,0,0,1,3,3,1,2,3,3,0.8,False
6807183,1,14,14,1,14,6,13,1,0,1,4,4,4,4,0,0,0,0,4,4,1,2,2,1,2,2,2,9,9,1,9,9,9,2,2,1,2,2,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,14,1,0,0,1,1,2,3,3,1.0,False
3227009,3,1,1,2,5,2,2,0,3,2,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,1,9,9,1,9,9,1,2,1,1,2,1,1,2,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,3,4,1.0,False
5241664,1,3,2,1,16,1,12,4,0,1,4,4,4,4,1,1,1,1,7,7,1,2,1,2,2,2,2,9,1,9,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,4,1,1,1,3,4,1.0,True
7956780,3,2,1,1,6,1,6,0,0,1,3,2,3,2,1,1,0,0,3,3,1,1,2,2,2,1,2,1,9,9,9,1,9,2,1,1,1,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,1,2,3,4,0.6666666666666666,True
8184882,3,1,1,5,1,0,1,0,0,2,1,1,1,1,0,0,0,0,2,2,1,1,2,2,2,2,2,1,9,9,9,9,9,2,2,1,2,1,2,1,1,9,2,1,2,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3,3,1.0,False
2432922,3,4,4,1,8,1,5,0,3,1,1,1,2,2,0,0,0,0,1,1,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,2,2,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,3,1.0,False
1084897,3,1,1,1,4,4,4,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,2,2,1,9,2,1,2,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3,4,1.0,False
3897690,3,5,5,1,5,1,4,1,0,2,3,3,3,3,0,0,0,0,0,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,2,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,2,2,2,1.0,False
1671657,3,1,1,1,9,1,4,3,2,2,1,1,1,1,0,0,0,0,3,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,1,1,3,4,1.0,False
6393165,2,14,14,1,14,4,14,0,0,1,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,1,1,1,1,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,2,9,4,0,7,7,2,2,2,1,2,1,1,1,4,1.0,False
3510617,3,3,3,1,11,10,6,0,5,1,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,1,2,1,1,1,9,1,1,1,1,4,4,4,2,2,4,4,4,1,1,1,0,0,26,0,1,0,0,5,2,1,2,3,3,1.0,True
9453858,3,1,0,5,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,2,1,2,1,1,1,9,2,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,2,2,3,2,1.0,False
8387262,3,1,1,5,4,5,4,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,0,2,0,0,0,0,0,0,0,2,2,3,3,1.0,False
2648775,3,5,5,1,8,10,5,0,3,1,1,1,3,3,1,1,0,0,4,6,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,2,4,4,4,4,4,4,1,4,4,1,1,0,1,12,0,0,1,2,2,1,1,1,3,4,1.0,True
2596302,2,24,24,1,14,8,14,0,0,1,5,5,0,0,5,5,0,0,5,5,1,2,2,1,2,2,2,9,9,2,9,9,9,2,1,1,2,2,2,2,1,9,2,2,9,2,0,0,0,0,0,0,0,0,0,1,9,3,0,12,0,0,1,1,1,4,1,2,3,3,1.0,False
9673849,3,2,1,2,9,1,5,3,1,2,1,1,2,2,1,1,0,0,1,1,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,3,2,1.0,True
2244252,3,1,1,1,7,4,7,0,0,1,1,1,3,3,0,0,0,0,6,7,2,2,1,1,2,2,2,9,2,1,9,9,9,2,2,1,2,1,1,1,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,16,0,3,2,1,1,2,3,4,1.0,False
8575706,3,3,3,5,3,1,2,1,0,2,1,1,1,1,0,0,0,0,0,0,2,1,2,2,2,2,2,1,9,9,9,9,9,1,1,3,2,1,2,2,1,9,2,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3,6,1.0,False
8645555,2,7,7,1,9,0,9,0,0,1,0,0,2,2,0,0,0,0,0,6,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,9,2,1,1,1,0,0,0,0,1,1,1,2,2,4,1.0,False
5616469,3,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,0,0,3,2,1,2,2,1,1,2,2,9,9,1,1,9,9,2,1,2,2,1,2,2,1,9,1,2,9,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3,2,1.0,False
6849026,3,4,4,1,4,4,4,0,0,1,1,1,2,2,1,1,0,0,2,1,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,2,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,2,3,1.0,True
7403999,1,1,1,1,4,4,4,0,0,1,4,4,4,4,0,0,0,0,4,4,2,2,2,1,1,2,2,9,9,1,1,9,9,2,1,1,2,1,1,1,1,9,1,2,9,3,0,0,0,0,0,0,0,0,0,1,9,1,1,4,0,0,0,1,1,1,1,2,2,4,1.0,False
1906215,3,3,1,5,6,5,4,2,0,1,2,1,1,1,0,0,0,0,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,3,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,2,2,3,2,0.6666666666666666,False
3638774,3,11,11,1,11,11,11,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,1,1,1,9,2,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,3,1.0,True
5289323,1,7,7,1,7,10,7,0,0,1,3,3,3,3,0,0,0,0,4,4,1,1,1,1,1,2,2,1,1,1,1,9,9,2,1,1,1,1,2,1,1,9,2,1,1,1,1,1,1,4,4,4,4,4,3,2,9,4,0,0,0,2,0,0,5,3,1,1,1,4,1.0,False
7143718,1,2,2,1,10,4,10,0,0,1,5,5,5,5,0,0,0,0,0,0,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,0,0,3,0,0,0,0,0,0,1,1,3,4,1.0,False
4803408,3,4,4,5,4,4,4,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,2,2,2,2,2,1,9,9,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,2,2,2,3,1.0,True
3658388,3,26,15,1,16,3,16,0,0,2,0,0,4,4,0,0,1,1,0,5,1,2,2,1,2,2,1,9,9,1,9,9,1,2,1,1,2,1,1,1,1,9,1,1,1,2,2,2,3,4,3,3,4,4,1,1,1,0,2,3,0,0,0,0,0,2,1,1,2,4,1.0,True
2350445,3,2,2,7,8,3,3,5,0,1,1,1,1,1,0,0,0,0,2,3,1,1,2,1,2,2,2,2,9,2,9,9,9,2,1,1,2,1,2,2,1,9,2,1,1,2,4,4,4,4,4,4,4,4,4,1,1,0,0,10,0,0,0,0,0,1,1,2,3,4,1.0,False
7070259,3,3,2,5,3,1,3,0,0,1,1,1,1,1,1,1,1,1,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,1,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,1,2,2,4,1.0,True
2616843,1,1,1,1,27,4,27,0,0,1,6,6,7,7,0,0,0,0,0,0,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,2,2,2,1,9,1,2,9,1,3,3,3,1,3,3,3,3,1,1,9,0,0,3,0,0,0,0,0,1,1,2,3,3,1.0,False
7864219,1,1,0,1,7,5,7,0,0,1,2,2,3,3,0,0,0,0,2,3,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,2,2,2,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,1.0,False
6464970,1,2,2,1,38,12,38,0,0,1,0,0,10,10,0,0,1,1,0,19,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,0,10,0,0,0,6,5,4,1,2,2,4,1.0,True
2491483,1,8,8,1,8,1,8,0,0,1,1,1,1,1,0,0,0,0,2,3,2,1,2,2,2,2,2,2,9,9,9,9,9,2,1,1,2,1,2,2,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,2,4,1.0,False
5199967,3,2,2,1,6,3,5,0,1,2,1,1,2,2,0,0,0,0,4,6,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,1,1,1,1,1,2,4,1.0,False
8652808,3,1,1,1,5,3,5,0,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,2,2,2,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,1.0,True
2237280,1,3,3,1,10,11,10,0,0,1,4,4,2,2,0,0,0,0,5,5,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,2,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,7,1,0,0,0,0,0,1,1,1,3,4,1.0,False
2931139,2,2,1,5,5,1,5,0,0,1,1,1,1,1,0,0,0,0,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,2,1,2,2,2,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3,1,1.0,False
4408279,3,2,2,5,3,1,3,0,0,1,1,0,1,0,0,0,0,0,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,1,2,3,2,1,2,2,2,1,2,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,1,2,3,5,0.0,False
4050523,1,3,3,1,10,4,10,0,0,1,3,3,2,2,0,0,0,0,5,2,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,2,2,1,9,1,2,9,1,1,1,1,4,4,1,1,4,4,2,9,0,0,2,0,0,0,0,0,0,1,2,3,4,1.0,False
9223662,3,1,1,1,4,1,4,0,0,2,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,2,1.0,False
6727875,3,1,1,7,7,0,4,3,0,2,1,1,1,1,0,0,0,0,3,3,1,1,2,1,1,2,2,1,9,1,2,9,9,2,1,1,2,1,2,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,2,3,3,1.0,False
2561913,1,3,3,1,57,33,57,0,0,1,18,18,25,25,1,1,1,1,14,25,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,2,1,1,1,1,1,1,1,1,1,4,1,1,1,9,3,0,120,0,50,0,0,50,9,1,2,1,4,1.0,True
8458543,3,12,12,1,12,12,7,5,0,1,2,2,2,2,0,0,0,0,2,2,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,1,2,3,4,1.0,False
5920948,3,3,3,5,11,4,8,3,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,2,2,3,1.0,False
1692105,2,4,4,7,14,4,14,0,0,1,2,2,7,5,2,1,2,2,0,0,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,0,9,1,0,0,20,7607,20,1,0,1,1,1,1,2,3,0.7777777777777778,True
5439648,3,4,4,2,12,7,12,0,0,2,2,2,2,2,0,0,0,0,0,0,2,1,2,2,2,2,2,1,9,9,9,9,9,1,2,1,3,1,2,2,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,11,0,0,0,0,1,0,2,2,3,3,1.0,False
3640228,3,3,3,1,3,2,3,0,0,2,1,1,1,1,0,0,0,0,2,2,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,1,4,0,0,0,0,0,0,2,2,2,2,1.0,False
4123476,1,1,1,1,6,1,6,0,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,9,9,1,1,9,9,2,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3,4,1.0,False
3884504,1,1,1,1,12,12,12,0,0,1,4,1,4,1,0,0,0,0,10,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,2,2,9,2,3,3,3,3,3,1,3,3,3,1,9,1,0,10,0,0,0,0,0,1,1,1,3,4,0.25,False
2634772,2,15,15,1,15,15,15,0,0,1,3,1,3,1,0,0,0,0,3,3,1,2,2,1,2,2,1,9,9,1,9,9,2,2,1,1,2,1,2,2,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,1,9,1,0,6,0,0,0,0,0,1,1,1,3,4,0.3333333333333333,False
5784729,1,5,5,1,5,1,5,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,1,9,9,9,2,1,1,2,1,1,1,1,9,2,2,9,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,3,1.0,False
9020677,1,1,1,7,4,9,4,0,0,1,1,1,1,1,0,0,0,0,7,7,1,1,1,1,2,1,1,1,1,1,9,1,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,1,1,1,1,3,4,1.0,False
6481192,1,1,1,1,13,8,13,0,0,1,3,3,3,3,0,0,0,0,10,10,1,2,2,2,1,2,1,9,9,9,1,9,1,1,1,1,2,1,1,1,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,1,9,3,0,10,0,2,0,0,0,1,1,1,3,4,1.0,False
1845361,3,4,4,1,12,0,10,0,2,2,2,2,2,2,0,0,0,0,2,2,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,2,2,2,2,2,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,0,1.0,False
5400513,3,11,11,1,8,3,8,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,9,9,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,4,5,0,0,0,2,1,1,1,2,1,4,1.0,True
3006362,3,2,2,1,3,2,3,0,0,2,1,0,1,0,0,0,0,0,1,1,2,1,2,1,2,2,2,1,9,1,9,9,9,2,2,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,3,4,0.0,False
6609962,3,4,4,1,10,3,10,0,0,2,2,2,2,2,0,0,0,0,3,3,1,1,2,2,2,2,2,1,9,9,9,9,9,3,1,1,3,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,1,3,4,1,1,2,3,3,1.0,False
8486883,2,10,10,1,10,10,10,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,2,2,1,9,1,2,9,2,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,0,0,1,1,1,4,1.0,False
9356987,1,2,0,5,3,3,3,0,0,2,1,1,1,1,0,0,0,0,1,1,1,2,1,2,2,2,2,9,1,9,9,9,9,2,1,1,2,2,2,2,1,9,2,2,9,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,1.0,False
4207931,1,1,1,1,13,22,13,0,0,1,3,3,3,3,2,2,2,2,5,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,15,0,4,0,0,4,2,1,2,3,4,1.0,True
7962631,3,4,3,1,10,4,6,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,1,9,9,9,9,9,1,2,2,2,1,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,1,1.0,False
3175399,3,4,4,1,14,2,4,6,4,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,2,2,1,9,9,9,9,9,1,1,1,2,2,2,2,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,1.0,True
6732156,3,3,3,5,5,1,4,0,1,2,1,1,1,1,0,0,0,0,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,3,1.0,False
9702742,1,6,6,1,6,7,6,0,0,1,4,4,4,4,0,0,0,0,3,3,1,1,2,1,2,2,2,1,9,1,9,9,9,2,2,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,12,0,0,0,0,1,1,2,2,3,3,1.0,False
7358495,3,2,2,5,7,2,7,0,0,1,1,1,1,1,0,0,0,0,2,1,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,2,2,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,2,2,3,3,1.0,False
